bank,city,branch,swiftcode
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44CTL
FAR EASTERN COMMERCIAL BANK OAO,BLAGOVESHCHENSK,(BLAGOVESHCHENSK BRANCH),FAECRU8KBLG
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",TOKYO,(INVESTMENT FUND OPERATIONS UNIT),BOTKJPJTFND
"SURUGA BANK, LTD., THE",TOKYO,,SRFXJPJTXXX
"BANCO DE CREDITO E INVERSIONES, MIAMI BRANCH","MIAMI,FL",,CREDUS3MXXX
BANQUE MISR,CAIRO,(DAR EL KADAA BRANCH),BMISEGCX375
BYBLOS BANK EUROPE S.A. (PARIS BRANCH),PARIS,,BYBBFRPPXXX
CREDIT AGRICOLE CHEUVREUX,COURBEVOIE,,CHVIFRPPXXX
"SHINSEI BANK, LTD.",TOKYO,(HEAD OFFICE),LTCBJPJTHED
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,TIEN GIANG,(TIEN GIANG BRANCH),BIDVVNVX710
BANQUE ESPIRITO SANTO ET DE LA VENETIE,PARIS,,BESVFRPPYBF
BNP PARIBAS VIETNAM - HO CHI MINH CITY BRANCH,HO CHI MINH CITY,,BNPAVNVNXXX
D.I.M.O. GESTION,LIMONEST,,DIMOFR22XXX
HSBC BANK PLC,PARIS,,MIDLFRCP222
BANK OF ALEXANDRIA S A E,CAIRO,,ALEXEGCXXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44MDX
DOHA BANK,UMM SAID,(UMM SAID BRANCH),DOHBQAQAUSB
PUNJAB NATIONAL BANK,KABUL,,PUNBAFKAXXX
BANQUE EXTERIEURE D'ALGERIE,MOSTAGANEM,(AGENCE DE MOSTAGANEM),BEXADZAL066
BRED BANQUE POPULAIRE,PARIS,,BREDFRPPKUS
EGYPTIAN GULF BANK,CAIRO,(MOHANDSEEN BRANCH),EGGBEGCAMOH
ABACUS FEDERAL SAVINGS BANK,"NEW YORK,NY",,AFSBUS33XXX
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,DONG NAI,(DONG NAI BRANCH),BFTVVNVX012
CHELINDBANK,TRIOKHGORNY,(TREKHGORNYJ BRANCH),CHLBRU4C735
SOCIETE MARSEILLAISE DE CREDIT,SAINT TROPEZ,,SMCTFR2ASTP
NATIONAL BANK FOR DEVELOPMENT,CAIRO,(KASR EL NIL BRANCH),NBDEEGCXKSR
ANZ BANK(VIETNAM) LIMITED,HANOI,,ANZBVNVXXXX
CAISSE D'EPARGNE AUVERGNE LIMOUSIN,CLERMONT FERRAND,,CEPAFRPP871
BANK OF CHINA,HO CHI MINH CITY,,BKCHVNVXXXX
FREDDIE MAC,"MCLEAN,VA",,FMACUS33XXX
SOCIETE MARSEILLAISE DE CREDIT,NICE,,SMCTFR2ANIC
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HANOI,(HANOI BRANCH),BIDVVNVX211
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BINH DUONG,(BINH DUONG BRANCH),BIDVVNVX650
BANCOMER TRANSFER SERVICES INC.,"HOUSTON,TX",(BANCOMER FOREIGN EXCHANGE),BTSIUS44BFX
AHLI UNITED BANK (EGYPT) S.A.E.,DOMIAT,(DOMIAT BRANCH),DEIBEGCX527
SHINKIN CENTRAL BANK,TOKYO,,ZENBJPJTXXX
AS -PRIVATBANK',RIGA,,PRTTLV22XXX
"BANK OF NAGOYA, LTD. , THE",NAGOYA,,NAGOJPJNXXX
"JPMORGAN CHASE BANK, N.A.",PARIS,,CHASFRPPENQ
DEUTSCHE BANK AG,PARIS,,DEUTFRPPSSS
HSBC FRANCE,MULHOUSE,,CCFRFRPP210
JSC CITADELE BANKA,RIGA,,PARXLV22XXX
COMMONWEALTH BANK OF AUSTRALIA,TOKYO,,CTBAJPJTXXX
DUBUS SA,LILLE,,DUBUFR2NXXX
BANCO DEL PICHINCHA - MIAMI AGENCY,"MIAMI,FL",,PICHUS3MXXX
ARAB INVESTMENT BANK,CAIRO,(CAIRO BRANCH),AINBEGCACAI
GOLDMAN SACHS BANK USA (FORMERLY THE GOLDMAN SACHS TRUST COMPANY),"NEW YORK,NY",,GSTRUS33XXX
BANQUE MISR,CAIRO,(OVERSEAS BRANCH),BMISEGCX140
COMMERCIAL BANK -LANTA-BANK',KUYBISHEV,(KUYBISHEV BRANCH),COLKRUMMKBB
SUEZ CANAL BANK,6TH OF OCTOBER,(UNIVERSITY BRANCH),SUCAEGCXOCU
BANAMEX USA,"LOS ANGELES,CA",,CALCUS6LXXX
"BANK OF SAGA, LTD., THE",SAGA,,BKSGJPJTSAG
BANCO BRADESCO S.A.,"NEW YORK,NY",,BBDEUS33XXX
"BANCO DE SABADELL, S.A.","MIAMI,FL",,BSABUS3XXXX
CHICAGO MERCANTILE EXCHANGE,"CHICAGO,IL",,XCMEUS4FXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44FIF
"FULTON BANK, N.A.","MERCHANTVILLE,PA",(GLOBAL EXCHANGE DIVISION),FLBKUS33GEG
GLOBAL PETRO COMMERCIAL JOINT STOCK BANK,HANOI,,GBNKVNVXXXX
BANK MELLI IRAN ZAO,MOSCOW,,MELIRUMMXXX
EXPORT DEVELOPMENT BANK OF EGYPT,CAIRO,(ZAMALEK BRANCH),EXDEEGCXZAM
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BANI SUEF,(BANI SUEF BRANCH),BDACEGCA082
"BANK NEGARA INDONESIA (PERSERO) PT., NEW YORK AGENCY","NEW YORK,NY",,BNINUS33XXX
SUEZ CANAL BANK,ALEXANDRIA,(ALAMRIA BRANCH),SUCAEGCXAMR
DOHA SECURITIES MARKET,DOHA,,DSMDQAQAXXX
"NOMURA ASSET MANAGEMENT CO., LTD.",TOKYO,,NAMKJPJTFDV
PROCAPITAL SA,PARIS,,PROCFRPPXXX
GOLDEN SHARE SECURITIES,CAIRO,,GSHSEGCAXXX
REGIONALA INVESTICIJU BANKA,RIGA,,RIBRLV22XXX
"TAJIMA BANK, LTD, THE",HYOGO,,TJMAJPJZXXX
"DAIWA NEXT BANK, LTD.",CHIYODA-KU,,DNEXJPJTXXX
CAISSES D'EPARGNE PARTICIPATIONS,PARIS,,HLCEFRPPXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HANOI,(DONG DO BRANCH),BIDVVNVX125
EXPORT DEVELOPMENT BANK OF EGYPT,CAIRO,(MAIN BRANCH),EXDEEGCXMOH
BANQUE EXTERIEURE D'ALGERIE,CONSTANTINE,(AGENCE DE CONSTANTINE),BEXADZAL050
BANQUE EXTERIEURE D'ALGERIE,ANNABA,(AGENCE ANNABA EL HADJAR),BEXADZAL076
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,BANHA,(KALUBIA BRANCH),BDACEGCA013
MISR IRAN DEVELOPMENT BANK,CAIRO,(MAADI BRANCH),MIDBEGCXMAD
BANQUE EXTERIEURE D'ALGERIE,AIN TEMOUCHENT,(AGENCE AIN TEMOUCHENT),BEXADZAL072
HSBC FRANCE,PARIS,,CCFRFRPP050
CHELYABINVESTBANK,MAGNITOGORSK,(MAGNITOGORSKY BRANCH),CHINRU4CMAG
SUMITOMO MITSUI BANKING CORPORATION,TOKYO,,SMBCJPJTCLS
VINCI ENERGIES,MONTESSON,,VESAFR22XXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44EHC
HSBC FRANCE,MARSEILLE,,CCFRFRPP209
ASSOTSIATSIYA BANK,NIZHNIY NOVGOROD,,ASOJRU2NXXX
ARAB AFRICAN INTERNATIONAL BANK,CAIRO,,ARAIEGCXTWN
FAISAL ISLAMIC BANK OF EGYPT,ASSUIT,(ASSUIT BRANCH),FIEGEGCXASU
BORSKY COMMERCIAL BANK,BOR,,BOCRRU2BXXX
EUROCLEAR FRANCE,PARIS,,SICVFRPPAF1
CITIBANK CAIRO,CAIRO,,CITIEGCXXXX
SOCIETE MARSEILLAISE DE CREDIT,MONTPELLIER,,SMCTFR2AMPL
BANQUE EXTERIEURE D'ALGERIE,SETIF,(AGENCE SETIF II),BEXADZAL053
PHAROS SECURITIES,CAIRO,,PHAREGCAXXX
EGYPTIAN SAUDI FINANCE BANK,GIZA,(CORRESPONDANTS DEPARTMENT),TAMSEGCACOR
ABM BANK LTD,MOSCOW,,ABMBRUMMXXX
"CAPITAL ONE, N.A.","NEW YORK,NY",,NFBKUS33XXX
BANQUE POPULAIRE RIVES DE PARIS,PARIS,,CCBPFRPPMTG
ARAB BANK PLC,DOHA,(C RING BRANCH),ARABQAQARD3
BANQUE D'ESCOMPTE,PARIS,,ESCBFRPPXXX
FEDERAL BANK FOR INNOVATION AND DEVELOPMENT,MOSCOW,,FEIDRUMMXXX
ALWATANY BANK OF EGYPT,6TH OF OCTOBER,(EL SHEIKH ZAYED BRANCH),WABAEGCXZAY
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,(AGENCE RIAD EL FETH),BEXADZAL002
SOCIETE ARABE INTERNATIONALE DE BANQUE,PORT SAID,,SBNKEGCXSHD
UNITED BROKERAGE CORPORATION,GIZA,,UBCEEGCAXXX
B AND N BANK (JOINT-STOCK COMPANY),MOSCOW,,BINORUMMXXX
CAIXA D'ESTALVIS DE CATALUNYA,PERPIGNAN,,CESCFR2XXXX
CALYON (FORMERLY CREDIT LYONNAIS RUSBANK),MOSCOW,,CRLYRU2PMSC
FDI FRANCE,LA MOTTE-SERVOLEX,,FDFRFR22XXX
PANASONIC CORPORATION,OSAKA,,PANAJPJSXXX
ARAB BANKING CORPORATION EGYPT,CAIRO,(NASR CITY BRANCH),EAABEGCX007
LAZARD FRERES GESTION,PARIS,,LAFGFRPPXXX
EUROCREDIT COMMERCIAL BANK LTD LIABILITY COMPANY,MOSCOW,,ECLYRUMMXXX
"THE SENSHU IKEDA BANK, LTD.",OSAKA,,BIKEJPJSXXX
BANK BFT,MOSCOW,,BFTFRUMMXXX
THE GROUP SECURITIES,DOHA,,GRPSQAQAXXX
NATIONAL BANK OF ABU DHABI,CAIRO,(HELIOPOLIS BRANCH),NBADEGCAHLP
BANQUE EXTERIEURE D'ALGERIE,ALGIERS,,BEXADZALXXX
BANQUE SOCIETE GENERALE VOSTOK,MOSCOW,,SOGERUMMXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,PHU TAI,(PHU TAI BRANCH),BIDVVNVX581
NATIONAL BANK OF ABU DHABI,ALEXANDRIA,(ALEXANDRIA CITY),NBADEGCAACC
EGYPTIAN ARAB LAND BANK,DOMIAT,,ARLBEGCADIM
BANK JUGRA,MOSCOW,,JUGRRUMMXXX
UBS (FRANCE) S.A.,PARIS,,UBSWFRPPXXX
PRINCIPAL BANK FOR DEVELOPMENT AND AGRICULTURAL CREDIT,CAIRO,(GIZA BRANCH),BDACEGCA002
NATIONAL BANK OF ABU DHABI,CAIRO,(MAADI BRANCH),NBADEGCAMAD
SOCIETE MARSEILLAISE DE CREDIT,NIMES,,SMCTFR2ANIM
FAISAL ISLAMIC BANK OF EGYPT,6TH OF OCTOBER,(6TH OF OCTOBER BRANCH),FIEGEGCXOCT
"MCSD MISR FOR CLEARING,DEPOSITORY AND REGISTRY",CAIRO,(EGYPTIAN INVESTOR PROTECTION FUND DEPARTMENT ),MCSDEGCAIPF
NATIONAL BANK FOR DEVELOPMENT,QALIOBIA,(QALIOUB ISLAMIC BRANCH),NBDEEGCXKLI
EURO-VL,LEVALLOIS PERRET,,EUVLFRPPXXX
BANQUE EXTERIEURE D'ALGERIE,ORAN,(AGENCE ORAN KHEMISTI),BEXADZAL062
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",TOKYO,(HEAD OFFICE),BOTKJPJTXXX
EVRAZBANK OOO,NEMCHINOVKA,,EVRARUMMXXX
BANK OF ALEXANDRIA S A E,CAIRO,(MUSKI BRANCH),ALEXEGCX004
BANK OF CHINA,OSAKA,(OSAKA BRANCH),BKCHJPJTOSA
EUROPEAN FUND ADMINISTRATION FRANCE S.A.S,PARIS,,EFALFRPPXXX
FAR EASTERN BANK OAO,VLADIVOSTOK,(HEAD OFFICE),FAEBRU8VXXX
COMMERCIAL INTERNATIONAL BROKERAGE COMPANY,CAIRO,,CIBOEGCXXXX
BANK OF INDIA,TOKYO,(TOKYO BRANCH),BKIDJPJTXXX
DEUTSCHE BANK AG,DOHA,,DEUTQAQAXXX
"BANK OF AMERICA, N.A. PARIS",PARIS,,BOFAFRPPXXX
ALWATANY BANK OF EGYPT,CAIRO,(HELIOPOLIS BRANCH),WABAEGCXHEL
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE",FUKUOKA,,BOTKJPJTFUK
BLOM BANK EGYPT S.A.E.,ALEXANDRIA,(ALEXANDRIA BRANCH),MRBAEGCX006
BLOM BANK EGYPT S.A.E.,ALEXANDRIA,(MANCHIA),MRBAEGCX025
BANQUE MISR,ALEXANDRIA,(ATTAREEN BRANCH),BMISEGCX408
FAURECIA,NANTERRE,,FAURFRPPXXX
BLOM BANK EGYPT S.A.E.,DOMIAT,(DOMYAT),MRBAEGCX017
BANQUE EXTERIEURE D'ALGERIE,BENI SAF,(AGENCE BENI SAF),BEXADZAL075
GAZ DE FRANCE,PARIS,,GDFGFRPPXXX
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM,HA TINH,(HA TINH BRANCH),BFTVVNVX020
BANQUE BCP,PARIS,,BPSMFRPPXXX
"CITADEL INVESTMENT GROUP, L.L.C.","CHICAGO,IL",(BRANCH),CITGUS44DXI
BANQUE CENTRALE DE COMPENSATION - LCH.CLEARNET SA,PARIS,,BACPFRPPTG2
EXPORT DEVELOPMENT BANK OF EGYPT,AL OBOUR,(AL OBOUR),EXDEEGCXOBO
GENERAL MOTORS HOLDINGS LLC,"DETROIT,MI",,GMCOUS33XXX
BANK SADERAT IRAN,DOHA,,BSIRQAQAXXX
OPTIMA SECURITIES BROKERAGE,CAIRO,,OPSBEGCAXXX
PIRAEUS BANK - EGYPT S.A.E.,CAIRO,,ECBAEGCAXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,HO CHI MINH CITY,(TAN TAO BRANCH),BIDVVNVX311
